venue_id,venue_full_name,venue_city,venue_state,league
2143,Wolstein Center,Cleveland,OH,ncaa_mbb
5633,Avenir Centre,Moncton,NB,ncaa_mbb
2113,Gentry Center,Nashville,TN,ncaa_mbb
2073,Moore Gymnasium (FL),Daytona Beach,FL,ncaa_mbb
2462,Ford Center,Evansville,IN,ncaa_mbb
2017,Convocation Center (VA),Hampton,VA,ncaa_mbb
4603,SECU Arena,Towson,MD,ncaa_mbb
1966,Great Southern Bank Arena,Springfield,MO,ncaa_mbb
1830,Madison Square Garden,New York,NY,ncaa_mbb
1896,Montagne Center,Beaumont,TX,ncaa_mbb
854,Hamilton Gymnasium,Denver,CO,ncaa_mbb
2076,Bogota Savings Bank Center,Hackensack,NJ,ncaa_mbb
1917,Show Me Center,Cape Girardeau,MO,ncaa_mbb
2191,Pete Hanna Center,Homewood,AL,ncaa_mbb
2061,Fant-Ewing Coliseum,Monroe,LA,ncaa_mbb
2003,Titan Gym,Fullerton,CA,ncaa_mbb
2216,Ocean Bank Convocation Center,Miami,FL,ncaa_mbb
2190,Banterra Center,Carbondale,IL,ncaa_mbb
6007,Townsley Law Arena,Lake Charles,LA,ncaa_mbb
1924,Events Center (Binghamton),Binghamton,NY,ncaa_mbb
2118,Patrick Gymnasium,Burlington,VT,ncaa_mbb
9548,The Coliseum,Carrollton,GA,ncaa_mbb
7413,Leo D. Mahoney Arena,Fairfield,CT,ncaa_mbb
2468,Legacy Arena at BJCC,Birmingham,AL,ncaa_mbb
2140,Brooklyn Athletic Center,Brooklyn,NY,ncaa_mbb
2231,Island FCU Arena,Stony Brook,NY,ncaa_mbb
2174,Ellis T. Johnson Arena,Morehead,KY,ncaa_mbb
2022,CFSB Center,Murray,KY,ncaa_mbb
2066,Corbett Sports Center,Greensboro,NC,ncaa_mbb
2461,Ocean Center,Daytona Beach,FL,ncaa_mbb
3559,Barclays Center,Brooklyn,NY,ncaa_mbb
6310,Baha Mar Convention Center,Nassau,Bahamas,ncaa_mbb
4539,Dugan Wellness Center,Corpus Christi,TX,ncaa_mbb
2178,OU Credit Union O'rena,Rochester,MI,ncaa_mbb
2020,M.A.C. Center,Kent,OH,ncaa_mbb
1916,William H. Pitt Center,Fairfield,CT,ncaa_mbb
1908,Farris Center,Conway,AR,ncaa_mbb
7341,Merkert Gymnasium,South Easton,MA,ncaa_mbb
6270,Chase Center,San Francisco,CA,ncaa_mbb
2079,William R. Johnson Coliseum,Nacogdoches,TX,ncaa_mbb
2225,UVI Sports & Fitness Center,Saint Thomas,Virgin Islands,ncaa_mbb
2561,T-Mobile Center,Kansas City,MO,ncaa_mbb
2160,Mohegan Sun Arena,Uncasville,CT,ncaa_mbb
1983,UW-Milwaukee Panther Arena,Milwaukee,WI,ncaa_mbb
2012,Sharp Gymnasium,Houston,TX,ncaa_mbb
4088,Rolle Activity Center,Flagstaff,AZ,ncaa_mbb
2198,Dee Events Center,Ogden,UT,ncaa_mbb
2203,James A. Rhodes Arena,Akron,OH,ncaa_mbb
7507,Event Center,Huntsville,AL,ncaa_mbb
3313,Ruben Rodriguez Coliseum,Bayamon,Puerto Rico,ncaa_mbb
1939,Prather Coliseum,Natchitoches,LA,ncaa_mbb
2761,Imperial Arena,Nassau,Bahamas,ncaa_mbb
2168,Bank of Colorado Arena,Greeley,CO,ncaa_mbb
2187,Buccaneer Fieldhouse,Charleston,SC,ncaa_mbb
2175,Knott Arena,Emmitsburg,MD,ncaa_mbb
5431,John Gray Gymnasium,George Town,Cayman Islands,ncaa_mbb
2065,Worthington Arena,Bozeman,MT,ncaa_mbb
1995,Dahlberg Arena,Missoula,MT,ncaa_mbb
2144,Detrick Gymnasium,New Britain,CT,ncaa_mbb
2082,SRC Arena,Riverside,CA,ncaa_mbb
4606,Skip Chappelle Court in Memorial Gymnasium,Orono,ME,ncaa_mbb
6000,Suncoast Credit Union Arena,Fort Myers,FL,ncaa_mbb
1943,Lahaina Civic Center,Maui,HI,ncaa_mbb
2153,UTRGV Fieldhouse,Edinburg,TX,ncaa_mbb
2212,University Credit Union Center,Davis,CA,ncaa_mbb
1024,Hertz Arena,Estero,FL,ncaa_mbb
7524,Acrisure Arena,Palm Springs,CA,ncaa_mbb
4810,MGM Grand Garden Arena,Las Vegas,NV,ncaa_mbb
4575,Hard Rock Hotel Riviera Maya,Cancun,Mexico,ncaa_mbb
10970,Florida State College at Jacksonville South Campus,Jacksonville,FL,ncaa_mbb
2054,Zidian Family Arena at Beeghly Center,Youngstown,OH,ncaa_mbb
2180,Jack Stephens Center,Little Rock,AR,ncaa_mbb
10593,VisitLethbridge.com Arena,Lethbridge,AB,ncaa_mbb
7329,Mullett Arena,Tempe,AZ,ncaa_mbb
4066,ESPN Wide World of Sports Complex,Lake Buena Vista,FL,ncaa_mbb
2138,Groniger Arena,Charleston,IL,ncaa_mbb
1919,First Community Arena,Edwardsville,IL,ncaa_mbb
1944,Alumni Gymnasium (Rider),Lawrenceville,NJ,ncaa_mbb
6020,Viking Pavilion,Portland,OR,ncaa_mbb
10886,Mohegan Sun Arena Wilkes-Barre,Wilkes Barre Township,PA,ncaa_mbb
2211,Hilliard Center,Corpus Christi,TX,ncaa_mbb
2109,Gervin GameAbove Center,Ypsilanti,MI,ncaa_mbb
2141,Stabler Arena,Bethlehem,PA,ncaa_mbb
1982,Thomas Assembly Center,Ruston,LA,ncaa_mbb
192,Nutter Center,Dayton,OH,ncaa_mbb
2110,Abessinio Court at Eleanor R. Baldwin Arena,Boca Raton,FL,ncaa_mbb
5059,Baxter Arena,Omaha,NE,ncaa_mbb
1978,Burr Gymnasium,Washington,DC,ncaa_mbb
5426,Jerry Richardson Indoor Stadium,Spartanburg,SC,ncaa_mbb
2165,H&PE Arena,Houston,TX,ncaa_mbb
1993,Mabee Center,Tulsa,OK,ncaa_mbb
7242,Schoenecker Arena,Saint Paul,MN,ncaa_mbb
1921,Bodford Arena,Greensboro,NC,ncaa_mbb
2205,Al Lawson Center,Tallahassee,FL,ncaa_mbb
4052,Swinney Center,Kansas City,MO,ncaa_mbb
137,Hart Center Arena,Worcester,MA,ncaa_mbb
2188,Cotterell Court,Hamilton,NY,ncaa_mbb
1974,Hawkins Arena,Macon,GA,ncaa_mbb
245,Ramsey Center,Cullowhee,NC,ncaa_mbb
2085,Spiro Sports Center,Staten Island,NY,ncaa_mbb
1906,John W. Pope Jr. Convocation Center,Buies Creek,NC,ncaa_mbb
586,Premier America Credit Union Arena,Northridge,CA,ncaa_mbb
2077,Smith-Hammond-Middleton Memorial Center,Orangeburg,SC,ncaa_mbb
2177,Gallagher Center,Niagara Falls,NY,ncaa_mbb
1963,Yanitelli Center,Jersey City,NJ,ncaa_mbb
10675,Jack and Ruth Ann Hill Convocation Center,Statesboro,GA,ncaa_mbb
7224,Climate Pledge Arena,Seattle,WA,ncaa_mbb
7117,Liberty Arena (VA),Lynchburg,VA,ncaa_mbb
1904,Reed Gym,Pocatello,ID,ncaa_mbb
1957,Memorial Hall (DE),Dover,DE,ncaa_mbb
2105,H.O. Clemmons Arena,Pine Bluff,AR,ncaa_mbb
2931,Comerica Center,Frisco,TX,ncaa_mbb
2229,Idaho Central Arena,Boise,ID,ncaa_mbb
4585,Bernard G. Johnson Coliseum,Huntsville,TX,ncaa_mbb
2117,Don Haskins Center,El Paso,TX,ncaa_mbb
5725,Schar Center,Elon,NC,ncaa_mbb
1845,Xfinity Mobile Arena,Philadelphia,PA,ncaa_mbb
6297,Dickies Arena,Fort Worth,TX,ncaa_mbb
2064,Hytche Center,Princess Anne,MD,ncaa_mbb
2139,Reynolds Coliseum,Raleigh,NC,ncaa_mbb
2204,Dunn-Oliver Acadome,Montgomery,AL,ncaa_mbb
